palabra,tipo,significado
JÍBARO,adj.,"Campesino, silvestre. Dícese de las personas, los animales, las costumbres, las prendas de vestir y algunas otras cosas.
S. silvestre, agreste, campestre, rústico
A. sativo, urbano, doméstico
C. El jíbaro salió desde lo más profundo del bosque quedando sorprendido al ver pro primera vez la ciudad."
JICAQUE,adj.,"Persona huraña, retraída y poco sociable.
S. hosco, áspero, esquivo, huraño, intratable, brusco, introvertido
A. sociable, tratable, extrovertido, abierto, comunicativo
C. El jicaque del vecino no desea salir a ninguna fiesta o reunión."
JIFA,f.,"Desperdicio que se tira en el matadero al descuartizar las reses.
S. sobra, piltrafa, pellejo, deshecho
C. El personal de limpieza se encarga de recoger toda la jifa que queda esparcida por suelo luego de la matanza de la res."
JIMAGUA,adj.,"Mellizo, nacido en el mismo parto.
S. cauche, gemelo, idéntico, hermanado, parejo, congénere, igual, equivalente
A. desigual, diferente, heterogéneo, raro, distinto
C. Festejaba sus once años el mismo día que su hermana cumplía igual cantidad de años pues era su jimagua."
JINÉ,m.,"Cada una de las tres piedras con que se forma el hogar en las casas de campo.
C. Coloqué cada jiné de tal manera que la base de la olla de barro podía sostenerse adecuadamente mientras hervía el agua."
JINGLAR,v.,"Dar gritos de regocijo, burlarse. / Moverse de una parte a otra colgado, como en el columpio.
S. chillar, bramar, rugir, clamar, gritar, balancearse, columpiarse, acunarse, bambolearse, ondearse, fluctuarse
A. callar, enmudecer, silenciar, amorrar, inmovilizarse, estacionarse, fijarse
C. Cuando el niño se subió al columpio quiso quedarse toda la tarde a jinglar."
JIÑA,f.,"Excremento humano.
S. caca, deyección, heces, defecación, mierda, plasta, estiércol, sedimento, excreta, majada, hienda, freza, inmundicia, residuos, expulsión
C. Una vez que defecó el loco se comió su propia jiña."
JIPATO,adj.,"Persona que tiene palidez enfermiza.
S. descolorido, lívido, blanquecino, demacrado, debilitado
A. sano, lozano, vigoroso, fresco
C. La fuerte anemia se ve reflejado en su jipato rostro."
JIPIAR,v.,"Hipar, gemir, gimotear. / Cantar con voz semejante a un gemido. 
S. lloriquear, sollozar, suspirar, clamar, berrear, quejarse, dolerse, lamentarse
A. reír, alegrarse, contentarse, divertirse
C. Su desconsuelo era tal que no dejó de jipiar durante todo el funeral."
JIRONADO,adj.,"Escudo dividido en los ocho triángulos o jirones que resultan por la combinación de las armas partidas, cortadas, tajadas y tronchadas. / Roto, hecho jiras o jirones. 
S. andrajoso, roto, destrozado, harapiento, jirón, desgarrado, astroso, descosido, estropajoso, desastrado, desaliñado, indecente, descamisado
A. adornado, arreglado, compuesto, elegante, presumido, peripuesto, aseado
C. Durante la pelea le han jironado todo el traje, ahora tendremos que comprarle otro."
JOB,m.,"Hombre de mucha paciencia.
S. paciente, resignado, abnegado, conforme, pacienzudo, manso, sosegado, apacible, calmado, sereno
A. inquieto, nervioso, impaciente, intranquilo, ansioso, agitado, excitado, vehemente, febril, irascible, furioso, fuguillas
C. Es increíble cómo aguanta a la histérica de su mujer, ese sí que es todo un job."
JOCOSO,adj.,"Gracioso, chistoso, festivo.
S. ocurrente, burlesco, saleroso, chocarrero
A. serio, triste, luctuoso, lloroso
C. Con lo jocoso que es no le caería mal un trabajo de payaso."
JOCUNDO,adj.,"Plácido, alegre, agradable.
S. contento, atractivo, lindo
A. triste, molesto, cargoso
C. Estaría feliz de quedarme en este jocundo lugar."
JODER,v.,"Practicar el coito. / Molestar, fastidiar. /  Destrozar, arruinar, echar a perder. / Para expresar enfado, irritación, asombro, etc.
S. copular, aparearse, incomodar, aburrir, hastiar, empalagar, cansar, abrumar, sofocar, incomodar, contrariar, desazonar, impacientar, enfurecer, exacerbar, despedazar, desmembrar, lacerar, triturar, moler, disgregar, partir, cercenar, tronchar, fracturar, quebrar, astillar, aniquilar, destruir, demoler, apabullar
A. inhibirse, aguantarse, refrenarse, divertir, lisonjear, complacer, agradar, gustar, entretener, encantar, acariciar, deleitar, cuidar, respetar, alegrar, contentar, tranquilizar, apaciguar, serenar, reconstruir, rehacer, componer, corregir, reparar, revisar, componer, arreglar, cuidar
C. Pues hombre, deja de joder tanto que ya me estas colmando la paciencia."
JOLGORIO,m.,"Regocijo, fiesta, diversión bulliciosa.
S. escándalo, alharaca, juerga,  parranda, jaleo, desorden, alboroto, sarao, jaleo
A. calma, paz, armonía, tranquilidad, mesura
C. Tremendo jolgorio el que se armó durante toda la noche con la llegada del nuevo grupo musical."
JOLLÍN,m.,"Gresca, jolgorio, diversión bulliciosa.
S. riña, pendencia, querella, disputa, reyerta, camorra, agarrada, bronca, contienda, pelotera, altercado, escándalo, alharaca, juerga,  parranda, jaleo, desorden, alboroto, sarao, jaleo
A. avenencia, acuerdo, calma, paz, armonía, tranquilidad, mesura
C. Los violentos borrachos provocaron un jollín que terminó con todos heridos y golpeados."
JONJABAR,v.,"Engatusar, lisonjear.
S. engañar, embaucar, chasquear, burlar, embelesar, catequizar, convencer, encandilar, deslumbrar, embobar
A. desilusionar, desconfiar, despertar, decepcionar, escarmentar
C. Se dejó jonjabar con aquella mujer quien terminó quitándole hasta el último centavo."
JONUCO,m.,"Espacio que hay debajo de la escalera de una casa.
S. área, puesto, zona, rincón, ambiente
C. Se suele colocar el baño en el jonuco de alguna escalera a fin de aprovechar el espacio."
JOPO,m.,"Cola de mucho pelo.
S. peludo, cerdoso, piloso, velludo
C. El rabo jopo del perro se enredará fácilmente entre las espinas."
JORGUÍN,m. y f.,"Persona que hace hechicerías.
S. mago, hechicero, brujo, nigromante, adivino, encantador, cabalista, médium, espiritista, ocultista, taumaturgo, alquimista, agorero, zahorí, sibilino, mágico
C. Pascual estaba convencido de que algún jorguín le había hecho algún daño a su espíritu."
JORNAL,m.,"Estipendio que gana el trabajador por cada día de trabajo. / Este mismo trabajo. / Medida de tierra, de extensión varia, usada en diferentes provincias de España. 
S. sueldo, soldada, paga, honorarios, retribución, remuneración, recompensa, pago, ganancia, asignación, jornada, haber, devengo
C. Tu jornal será de cinco soles, lo que significa que a la semana tendrás treinta y cinco soles."
JOVIAL,adj.,"Perteneciente o relativo a Jove o Júpiter. / Alegre, festivo, apacible.
S. optimista, contento, satisfecho, dichoso, comunicativo, risueño, entusiasmado, entusiasta, regocijo, campante, divertido, animado, placentero, ameno, agradable, plácido, bromista, gracioso, chistoso, humorístico, chancero
A. triste, mustio, lánguido, aburrido, apagado, amargado, pesimista, serio, callado, cerrado, apenado, doliente, luctuoso, desolado
C. El descubrimiento de la hija le restituyó su carácter jovial, y el gusto de estar con ella lo iba apartando poco a poco de la disipación."
JUANILLO,m.,"Propina, gratificación, soborno. / Pago que recibe un inquilino por traspasar el derecho de arriendo.
S. retribución, remuneración, estipendio, gajes, prima, extra, regalía, aguinaldo, dádiva, suma
C. Por sus buenos servicios le daré un juanillo a la camarera, espero que cinco soles sean suficientes."
JÚBILO,m.,"Viva alegría, y especialmente la que se manifiesta con signos exteriores.
S. gozo, satisfacción, dicha, regodeo
A. molestia, descontento, enfado, enojo, irritación, fastidio
C. Cuando se recibían noticias de nuevos triunfos liberales se proclamaban con gritos de júbilo y fiestas interminables."
JUGLAR,adj.,"Chistoso, picaresco. / Hombre que por dinero y ante el pueblo cantaba, bailaba o hacía juegos y truhanerías. / Hombre que por estipendio o dádivas recitaba o cantaba poesías de los trovadores, para recreo de los reyes y de los magnates. 
S. picante, gracioso, bardo, trovador, poeta, rapsoda, saltimbanqui, payaso, arlequín, comediante, charlatán
A. severo, serio, formal, grave
C. El príncipe disfrutaba mucho de las elegías recitadas por el juglar de la corte."
JULEPE,m.,"Poción de aguas destiladas, jarabes y otras materias medicinales. / Juego de naipes en que se pone un fondo y se señala triunfo volviendo una carta, después de repartir tres a cada jugador. / Esfuerzo o trabajo excesivo de alguien. / Desgaste o uso excesivo de algo. / Golpe, tunda, paliza. / Reprimenda, castigo. / Susto, miedo. / Desorden, problema, fastidio. 
S. pócima, brebaje, labor, faena, tarea, fajina, ajetreo, carga, labranza, servicio, gestión, empleo, deterioro, deslustre, decadencia, trancazo, pisotón, azote, puyazo, patada, verdugazo, mazazo, regaño, rapapolvo, sermón, reconvención, reprensión, trepe, réspice, andanada, solfa, vapuleo, amonestación, admonición, correctivo, canguelo, pavor, alarma, sobresalto, aspaviento, terror, espanto, respingo, rebato, cerote, espantada, cobardía, desconcierto, desbarajuste, anarquía, desarreglo, desorganización, caos, galimatías, incoherencia, turbación, barullo, babel, leonera, enredo, maraña, fárrago, revoltijo, baraúnda, bochinche
A. descanso, relajo, ocio, solaz, inercia, vagancia, desocupación, mantenimiento, resistencia, duración, caricia, mimo, abrazo, arrumaco, monada, terneza, encomio, loa, premio, encarecimiento, alabanza, elogio, aprobación, impavidez, reposo, tranquilidad, calma, serenidad, armonía sosiego, quietud, placidez
C. Por llegar de madrugada su padre le dio un severo julepe por lo que no pudo sentarse por varios días."
JUMENTO,m.,"Pollino, asno, burro.
S. rucio, bórico, cuadrúpedo, bestia, animal
C. le hacían cargar demasiada leña al pobre jumento."
JUMERA,f.,"Borrachera, embriaguez.
S. curda, merluza, tablón, moña, tranca, trompa, tajada, beodez, ebriedad, dipsomanía, borrachez, chalina, llorona, crápula, lobo
C. Le dolía demasiado la cabeza debido a la jumera que tuvo la noche anterior con unos borrachines."
JUPA,f.,"Cabeza de una persona.
S. testa, cholla, cráneo, testuz, azotea, morra, tiesto, coca, cocorota, chapitel, calabaza, crisma, mollera, casco, coco, chola, cerebro
C. Se dio un fuerte golpe en la jupa que casi lo deja inconsciente."
JURERO,adj.,"Que jura en falso.
S. perjurador, profanador
C. Juró por los clavos de Cristo que no la engañaba pero todos sabían que era un jurero pues a la semana ya andaba con una mocosa."
JURISCONSULTO,m. y f.,"Persona dedicada al estudio, interpretación y aplicación del derecho. / En lo antiguo, intérprete del derecho civil, cuya respuesta tenía fuerza de ley.
S. jurista, abogado, letrado, licenciado, legista, defensor, doctor, consejero, asesor, legisperito, jurisperito, criminalista, acusador
C. El jurisconsulto recomendó a su patrocinado a interponer la denuncia por acoso."
JURUNGAR,v.,"Hurgar, revolver en el interior de algo.
S. remover, mover, menear, palpar, tantear, escarbar, curiosear, husmear, tambalear, rascar
A. dejar, renunciar, calmar, tranquilizar
C. El juguete que buscas debe estar bajo todo ese montón de aparatos así que hay que jurungar todo para hallarlo."
JURUTUNGO,m.,"Lugar lejano.
S. lontananza, remoto, distante, alejado, retirado, separado, lejos, allende, espaciado, ultramarino
A. limítrofe, colindante, contiguo, vecino, inmediato, inminente, reciente, cercano, próximo, propincuo
C. Es un lugar tan jurutungo que te tardarás varias semanas en llegar."
KÁISER,m.,"Título de los emperadores de Alemania y Austria.
S. monarca, césar, soberano, mogol, emperador, rey, sultán, zar, señor, majestad, alteza, caudillo, kan
A. súbdito, vasallo, siervo, pechero, servidor, esclavo, subordinado, sumiso, dependiente
C. El último káiser dejó como regalo al antiguo pueblo alemán que gobernó grandes deudas de su aristocracia perdida."
KAMIKASE,m.,"Piloto japonés que tripulaba un avión con explosivos con el que se lanzaba contra objetivos, suicidándose, en la Segunda Guerra Mundial. / Persona que se juega la vida realizando una acción temeraria. /  Esa misma acción. / Terrorista suicida.
S. fanático, violento, extremista
C. Bastó un kamikase decidido para hundir el principal barco de los aliados estrellando su avión en plena cubierta.
KAN, m. Entre los tártaros, príncipe o jefe.
S. (ver KÁISER)
A. (ver KÁISER)
H. can (perro. / gatillo de las armas de fuego)
C. El gran kan de los tártaros ordenó la invasión del territorio."
KARAOKE,m.,"Diversión consistente en interpretar una canción sobre un fondo musical grabado, mientras se sigue la letra que aparece en una pantalla. / Equipo técnico compuesto por amplificador de sonido, micrófono, etc., que se usa para el karaoke. / Local público con instalaciones para el karaoke.
S. canto, tonada, canción
C. Aunque no tengas talento podrás cantar en el karaoke vamos, anímate, yo te invito."
KARATE,m.,"Modalidad de lucha japonesa, basada en golpes secos realizados con el borde de la mano, los codos o los pies. Es fundamentalmente un arte de defensa.
S. kung-fu, lucha, pelea, pancracio
H. carate (enfermedad tropical caracterizada por lesiones pigmentarias en la piel, de color blancuzco, rojizo o azul oscuro)
C. Sabía cómo defenderse pues era cinta negra en karate."
KARMA,m.,"En algunas religiones de la India, energía derivada de los actos que condiciona cada una de las sucesivas reencarnaciones, hasta que se alcanza la perfección. / En otras creencias, fuerza espiritual.
S. energía, espíritu, alma, ánima
C. Si tienes un buen karma te reencarnarás en un ser superior al que eres ahora."
KIMONO,m.,"Túnica de origen japonés que se caracteriza por sus mangas anchas y largas. Es abierta por delante y se cruza ciñéndose mediante un cinturón. / Vestimenta utilizada para practicar las artes marciales.
S. bata, batín, quimono, delantal, camisón, toga, prenda, hábito, vestidura, ropón
C. El karateca se vestió con el kimono de impecable blancura."
KIOSCO,m.,"Pabellón en parques o jardines, generalmente abierto por todos sus lados, que entre otros usos ha servido tradicionalmente para celebrar conciertos populares. / Construcción pequeña que se instala en la calle u otro lugar público para vender en ella periódicos, flores, etc.
S. garita, casilla, cabina, caseta, compartimiento, barraca, templete, tenderete, puesto, quiosco, pabellón
C. Puedes adquirir el periódico en el kiosco de la esquina."
KIRSCH,m.,"Aguardiente de cerezas.
S. licor, caña, bebida, brebaje, trago, néctar
C. Brindamos con un dulce kirsch que nos dejó un poco ebrios."
KIWI,m.,"Ave del tamaño de una gallina, que habita en Nueva Zelanda. / Arbusto trepador originario de China.
C. El kiwi estuvo a punto de ser un ave extinta si no hubiera sido protegida por las autoridades neozelandesas."
KRIL,m.,"Conjunto de varias especies de crustáceos marinos, de alto poder nutritivo, que integran el zooplancton.
S. fitoplancton
C. Las ballenas se alimentan de kril que hallan en grandes cantidades en los amplios mares."
LÁBARO,m.,"Estandarte que usaban los emperadores romanos, en el cual, desde el tiempo de Constantino y por su mandato, se puso la cruz y el monograma de Cristo, compuesto de las dos primeras letras de este nombre en griego (X y P). / Este mismo monograma. / La cruz sin el monograma.
S. signo, pendón, guión, enseña, pabellón, bandera, abreviatura, inicial, sello, marca, cifra
C. Las antiguas legiones romanas llevaban un lábaro a modo de estandarte para cada división."
LABIA,f.,"Verbosidad persuasiva y gracia en el hablar.
S. facundia, elocuencia, palabrería, pico, locuacidad, desparpajo, soltura, verbo, charlatanería, broza
A. mutismo, laconismo, mutis, silencio, circunspección, moderación, parquedad
C. Convencía todos con su espectacular labia."
LÁBIL,adj.,"Que resbala o se desliza fácilmente. / Frágil, caduco, débil. / Poco estable, poco firme en sus resoluciones. / Compuesto fácil de transformar en otro más estable.
S. precario, endeble, delicado, inseguro, quebradizo, inseguro
A. fuerte, vigoroso, resistente, macizo, duro
C. La copa tiene una lábil consistencia así que trátala con mucho cuidado."
LACAYO,adj.,"Servil, rastrero. / Criado cuya principal ocupación era acompañar a su amo a pie, a caballo o en coche. / Cada uno de los dos soldados de a pie, armados de ballesta, que solían acompañar a los caballeros en la guerra y formaban a veces cuerpos de tropa. / Lazo colgante de cintas con que se adornaban las mujeres el puño de la camisa o del jubón.
S. bajo, vil, indigno, despreciable, infamante, doméstico, sirviente, espolique, servidor, asistente, siervo, ayudante, esclavo, satélite, 
A. magnífico, grandioso, amo, dueño, soberano, señor
C. El lacayo del rey lo acompañaba a todos lados para cumplir con suss recados."
LACERAR,v.,"Lastimar, golpear, magullar, herir. / Dañar, vulnerar. / Penar, pagar un delito. / Perjudicar a una persona; malquistarla con otra. / Padecer, pasar trabajos.
S. vulnerar, herir, mancillar, damnificar, perjudicar, dañar
A. proteger, cuidar, preservar, resguardar
C. El jugador contrario intentó lacerar al capoitán del equipo con esa entrada tan violenta."
LACHA,f.,"Vergüenza. 
S. retraimiento, verecundia, apocamiento, timidez, cortedad, temor, cuita, empacho, embarazo, sonrojo, rubor, soflama, bochorno, pavo
A. descaro, desvergüenza, desenvoltura, atrevimiento, indignidad, cinismo, impudor, inverecundia, descoco, tupé, carota, frescura, osadía
C. Me da tanta lacha el tener que hablarte de dinero en estos momentos pero alguien tiene que hacerlo.
(1) Alacha, pez marino semejante a la sardina. Vive en el Atlántico y el Mediterráneo, donde se mezcla con los bancos de sardinas."
LACHO,m.,"Amante, galán. / Hombre enamoradizo.
S. amador, querido, pretendiente, pololo, enamorador, seguidor, novio, conquistador, aspirante, faldero, mujeriego, vehemente, apasionado, voluble, amoroso
A. frío, insensible, impasible
C. Ayer dijo que amaba a Domitila hoy dice que se enamoró de Martha, Juan sí que es un lacho de primera."
LACIO,adj.,"Marchito, ajado. / Flojo, débil, sin vigor. / Cabello que cae sin formar ondas ni rizos.
S. mustio, chuchurrido, deslucido, estropeado, exangüe, chuchurrido
A. majo, pulcro, limpio, fortalecido
C. La crespa se plachó el cabello hasta que le quedó lacio."
LACONISMO,m.,"Cualidad de lacónico, especialmente aplicado a la brevedad de la expresión.
S. sequedad, parquedad, concisión, brevedad, síntesis
A. garrulería, palabrería, locuacidad, palabreo, monserga, amplitud, luengo
C. Decía siempre lo necesario dado su singular laconismo."
LACRA,f.,"Secuela o señal de una enfermedad o achaque. / Vicio físico o moral que marca a quien lo tiene.
S. estigma, vicio, mancha, mácula, borrón, imperfección, huella, consecuencia, resultado.
A. perfección, corrección, bondad, esmero, causa
C. La uta le dejó una fea lacra en la mejilla derecha."
LACUSTRE,adj.,"Perteneciente o relativo a los lagos. / Que habita, está o se realiza en un lago o en sus orillas. / Semejante a un lago.
S. pantanoso, acuático, palustre
C. Una típica población lacustre es la que habita alrededor del lago titicaca."
LADINO,adj.,"Astuto, sagaz, taimado. / Se decía del romance o castellano antiguo. / Se decía de quien habla con facilidad alguna o algunas lenguas además de la propia. / Mestizo que solo habla español. / Lengua hablada en la antigua Retia. / Lengua religiosa de los sefardíes. / Variedad del castellano que, en época medieval, hablaban los judíos en España, y que, en la actualidad, hablan los judeoespañoles en Oriente.
S. avisado, fistol, artero, malicioso, perspicaz, sutil, cuco, artificioso, calculador, zascandil, zamacuco, diestro, pillo, bellaco, sátrapa, solerte, políglota, plurilingüe
A. inocente, ingenuo, incauto, beuno, noble, bonrado, inhábil, simplón, bonachón, monolingüe 
C. Por muy ladino que sea confío en que tú, siendo más astuto, le puedas engañar."
LAGARTA,f.,"Hembra del lagarto. / Mariposa cuya oruga causa grandes daños a diversos árboles, principalmente a la encina. / Mujer astuta. / Prostituta. 
S. ladina, hipócrita, sagaz, artera, cautelosa, escurridiza, pilla, tuna, pícara, cortesana, mozcorra, furcia, pípila, soleta, jinetera, pelandusca, zorra, churriana, ramera, mujerzuela, piruja, descocada, sucia, pécora, hetaira, deshonesta, mesalina, marrana, bordiona, gata, bacante, lúbrica, birchola, coscolina, vampiresa, casquivana 
A. cándida, sincera, ingenua, inocente, franca, crédula, inexperta, confiada, simple, simplona, prima, honorable, honrada
C. ¿Cuál será tu plan para engañar a la lagarta de Josefa?, mira que muchos lo intentaron pero nadie pudo."
LAICO,adj.,"Que no tiene órdenes clericales. / Independiente de cualquier organización o confesión religiosa.
S. lego, profano, secularizado, irreligioso
A. religioso, pío, celestial, eclesiático, clerical
C. Se considera un laico es por eso que no acude a ninguna iglesia o culto en particular."
LAMA,f.,"Cieno blando, suelto y pegajoso, de color oscuro, que se halla en algunos lugares del fondo del mar o de los ríos, y en el de los recipientes o lugares en donde hay o ha habido agua largo tiempo. / Prado, pradería. / Alga de los charcales. / En una mina, lodo de mineral muy molido, que se deposita en el fondo de los canales por donde corren las aguas que salen de los aparatos de trituración. / Arena muy menuda y suave que sirve para mezclar con la cal. / Moho, capa que se forma en un cuerpo metálico. 
S. légamo, barro, lodo, fango, albardilla, broza, limo, lúteo,  majada, pastos, campiña, llanura, césped, tepe, orín, herrumbre, hongo, cardenillo, pátina, óxido
C. Al vaciar el agua estancada del botijo quedó en el fondo la lama que tuvimos que sacar con una espátula.
(2) Plancha de metal. / Tela de oro o plata en que los hilos de estos metales forman el tejido y brillan por su haz sin pasar al envés.
(3) Maestro de la doctrina budista tibetana."
LAMBETA,f.,"Adulación.
S. lisonja, halago, coba, agasajo, piropo, mimo, candonga, caricia, embeleco, treta, pelotilla, alabanza, elogio, panegírico, apología, loa
A. crítica, censura, desaprobación, maledicencia, invectiva, burla, diatriba, sátira, detracción
C. No era fácil de convencer ni con la más afectuosa lambeta de sus subordinados sobre sus logros y proezas."
LAMBRIJA,f.,"Lombriz de tierra. / Persona muy flaca.
S. gusano, verme, larva, oruga, parásito, tenia, salitaria, helminto, gusarapo, cenceño, delgado, enflaquecido, charcón, escuchimizado, enteco, enjuto, consumido, hético, esquelético, descarnado, macilento, depauperado, desmejorado, feble
A. rollizo, obeso, sano, fuerto, gordo, mofletudo, gordinflón, regordete, repulludo, orondo, tapón, botija, corpulento, membrudo, adiposo, abultado, hinchado, mole, barrigón, barrigudo, tripudo, tonel, cuba, mantecoso, grasiento, graso, pingüe, espeso, opulento
C. Por falta de nutrición durante la infancia tu hijo se quedará tan lambrija que hasta el viento parecerá llevárselo."
LAMBRUCEAR,v.,"Apurar lo que queda en un plato o una vasija.
S. arrebañar, terminar, zampar, embuchar, tragar, devorar, atragantarse, atiborrarse
C. Tengo que lambrucear lo que quedó del banquete antes que otro me gane y se devore todo."
LAMECULOS,com.,"Persona aduladora y servil.
S. alzafuelles, adulón, pelotillero, quitamotas, zalamero, lisonjero, adulador, sobón, halagüeño, florero, candongo, apologista
A. difamador, calumniador, detractor, infamador, murmurador, criticón, malidiciente, chismoso, cotilla, denigrante, infamante, despreciativo, malhablado, denigradir
C. Pero que lacemulos resulto Ramón al estar todo el día con el jefe y encima hasta lavarle la ropa interior."
LAMEPLATOS,com.,"Persona golosa. / Persona que se alimenta de sobras. / Persona aduladora. / Dedo índice.
S. goloso, ávido, troglodita, tragón, comilón, voraz, zampón, alzafuelles, adulón, pelotillero, quitamotas, zalamero, lisonjero, adulador, sobón, halagüeño, florero, candongo, apologista
A. frugal, moderado, mesurado, abstinente, difamador, calumniador, detractor, infamador, murmurador, criticón, malidiciente, chismoso, cotilla, denigrante, infamante, despreciativo, malhablado, denigradir
C. Este lameplatos nunca se llena a pesar de haberse devorado un pollo entero."
LAMIDO,adj.,"Persona flaca. / Persona muy pálida y limpia. / Relamido, afectado, demasiado pulcro. / Que tiene aspecto muy terso y liso, por sobra de trabajo y esmero. 
S. cenceño, delgado, enflaquecido, charcón, escuchimizado, enteco, enjuto, consumido, hético, esquelético, descarnado, macilento, depauperado, desmejorado, feble, lívido, jipato, descolorido, desvaído, blanco, exangüe, demacrado, cadavérico, blanquecino, peripuesto, repulido, acicalado, compuesto, prolijo, gomoso, lechuguino, petimetre, pisaverde, currutaco, engomado
A. rollizo, obeso, sano, fuerto, gordo, mofletudo, gordinflón, regordete, repulludo, orondo, tapón, botija, corpulento, membrudo, adiposo, abultado, hinchado, mole, barrigón, barrigudo, tripudo, tonel, cuba, mantecoso, grasiento, graso, pingüe, espeso, opulento, lozano, fresco, vigoroso, robusto, rozagante, sucio, mugriento, desastrado, desgalichado, pingajoso, asqueroso
C. Tras varias horas de acicalamiento y baños concienzudos quedó lamido, listo para el gran baile."
LAMISCAR,v.,". Lamer aprisa y con ansia.
S. relamer, laminar, besar
C. Voy a lamiscar esa paleta hasta desaparecerla en menos de un minuto."
LAMPIÑO,adj.,"Dícese del hombre que no tiene barba. / Que tiene poco pelo o vello.
S. imberbe, barbilampiño, impúber
A. barbudo, barbiluengo, barbón, barbiespeso
C. Por lampiño jamás necesitarás afeitador."
LANCE,m.,"Acción y efecto de lanzar, arrojar. / Acción de echar la red para pescar. / Pesca que se saca de una vez. / Trance u ocasión crítica. / En el poema dramático, o en cualquier otro análogo, y en la novela, suceso, acontecimiento, situación interesante o notable. / Encuentro, riña. / En el juego, cada uno de los accidentes algo notables que ocurren en él. / Cada una de las suertes de la lidia.
S. redada, captura, acontecimiento, ocurrencia, caso, hecho, peripecia, sucedido, advenimiento, aventura, asunto, accidente, percance, situación, casualidad, eventualidad, suerte, oportunidad, episodio, incidente, contienda, encuentro, querella, pelea, bronca, camorra, riña, pendencia, trance, pasada, jugada, mano
A. paz, calma, tranquilidad, sosiego, armonía, avenencia, acuerdo
C. El lance más destacable de la Odisea radica en la lucha de Ulises con los pretendientes."
LANDA,f.,"Gran extensión de tierra llana en que solo se crían plantas silvestres.
S. páramo, sabana, meseta, planicie, llanura, explanada, llana, estepa, campo, campiña, pradera, altozano, altiplanicie
C. Vagaba a través de la landa donde la única compañía que tendría serían las plantas silvestres que crecían a montones por toda la inmensa extensión."
LANDÓ,m.,"Coche de cuatro ruedas, tirado por caballos, con capotas delantera y trasera, para poder usarlo descubierto o cerrado.
S. carro, carroza, carricoche
C. La dama paseaba en el landó cuyo auriga manejaba con experticia."
LANDRE,f.,"Tumefacción inflamatoria, del tamaño de una bellota, de un ganglio linfático, generalmente del cuello, axilas e ingles. / Bolsa escondida que se hacía en la capa o vestido para llevar oculto el dinero. 
S. bulto, tumor, protuberancia, inflamación, absceso, grano, bubón, forúnculo, pus, flemón, quiste, nódulo, ampolla, escrófula, lamparón
C. Mis abuelos solían guardar el dinero en la landre que mi abuela cosía bajo su falda cuando iban de viaje."
LÁNGUIDO,adj.,"Flaco, débil, fatigado. / De poco espíritu, valor o energía.
S. extenuado, postrado, debilitado, anémico, enfermizo, enflaquecido, desmayado
A. fortalecido, vigoroso, endurecido, fornido, jovial, membrudo, macizo, pujante, corpulento, forzudo
C. Nació lánguido que hasta pena daba sujetarlo por miedo a que se rompiera."
LAPIDAR,v.,"Matar a pedradas.
S. apedrear, castigar, maltratar, dañar, lesionar, matar, eliminar, aniquilar, destrozar
C. Una muchedumbre intentó lapidar a la mujer adúltera pero Jesucristo intervino y dijo: “el que esté libre de pecado que arroje la primera piedra”."
LAPSUS,m.,"Falta o equivocación cometida por descuido.
S. falta, error, desliz, culpa, traspié, lapso
A. acierto, tino, aserto
C. Tuvo un lapsus durante su disertación al pronunciar mal la palabra “aderezo” diciendo “adrezo”."
LARDO,m.,"Parte gorda del tocino. / Grasa o unto de los animales.
S. tocino, sebo, gordo, manteca, saín, mantequilla, pomada
C. Con el lardo del cerdo haremos chicharrón."
LARGUEZA,f.,"longitud (mayor dimensión lineal de una superficie plana). / Liberalidad, generosidad.
S. distancia, extensión, amplitud, espacio, ancho, duración, dilatación, prolongación, esplendidez, munificencia, magnificencia, grandeza, lucimiento, derroche
A. tacañería, avaricia, egoísmo, miseria, mezquindad, ruindad, codicia, ambición, sordidez
C. Tras una copiosa dotación de las provisiones, el coeficiente de solvencia de la institución sobrepasa con largueza los mínimos establecidos por la autoridad monetaria."
LASCAR,v.,"Aflojar o arriar muy poco a poco un cabo.
S. soltar, largar, bajar, descender, abatir
A. izar, alzar, levantar, subir
C. Para que todo el hilo salga debemos lascar desde la punta sin importar el tiempo que tarde."
LASCIVO,adj.,"Perteneciente o relativo a la lascivia. (Propensión a los deleites carnales. / Apetito inmoderado de una cosa) / Que tiene este vicio. / Demasiado lozano; juguetón, alegre.
S. lujurioso, salaz, liviano, lúbrico, sicalíptico, sátiro, libidinoso, carnal, impúdico
A. abstemio, sobrio, frugal, templado, continente, parco
C. Solo podías pensar en sexo debido a tu genio lascivo."
LASITUD,f.,"Desfallecimiento, cansancio, falta de fuerzas.
S. flojedad, languidez, debilidad, desmayo, agotamiento, extenuación
A. fuerza, robustez, corpulencia, fibra, vitalidad
C. Tanto calentamiento trajo como consecuencia la lasitud del jugador dentro de la cancha de donde tuvo que ser reemplazado a los pocos minutos."
